input	output
segment: तदनुयायिभिर्नित्यसुखाभिव्यक्तिरिति	तदनुयायिभिः नित्यसुखाभिव्यक्तिः इति
tag: नरपुङ्गवः सिंहनादम् अभ्यहन्यन्त ।	नरपुङ्गवः|NOUN सिंहनादम्|NOUN अभ्यहन्यन्त|VERB ।|SYM
segment: तत्त्वज्ञानं प्रत्यपि	तत्त्वज्ञानम् प्रत्यपि
segment: न्निर्धावितोऽस्मि	निर्धावितः अस्मि
segment: ज्वलनाद् वर्धितप्रभा	ज्वलनात् वर्धितप्रभा
segment: हनूमान्---अयमस्मि	हनूमान्---अयम् अस्मि
segment: मन्त्रशालामेव	मन्त्रशालाम् एव
segment: अतस्तासु	अतः तासु
segment: तदवाच्छिन्नं प्रति	तदवच्छिन्नम् प्रति
segment: सकर्तृकं	सकर्तृकम्
segment: प्रतिगृह्यतामस्मत्कुलधनं	प्रतिगृह्यताम् अस्मत्कुलधनं
segment: ग्रहगणचरितं वा	ग्रहगणचरितम् वा
segment: इमां सागरपर्यन्तां	इमाम् सागरपर्यन्ताम्
segment: प्रतूर्णं	प्रतूर्णम्
segment: तिष्ठेदानीम्	तिष्ठ इदानीम्
segment: ममैते	मम एते
tag: द्वारम् प्रकाशयति ।	द्वारम्|NOUN प्रकाशयति|VERB ।|SYM
segment: तवैव	तव एव
segment: ततस्ततः	ततः ततः
segment: मत्यैव	मत्या एव
segment: कल्पनाधिक्येपि	कल्पनाधिक्ये अपि
segment: नक्षत्रवंशमखिलं भुवि	नक्षत्रवंशम् अखिलम् भुवि
segment: तत्रैव	तत्र एव
segment: गोवृषमेव	गोवृषम् एव
tag: राज्यम् भुङ्क्ते ।	राज्यम्|NOUN भुङ्क्ते|VERB ।|SYM
segment: संबन्धज्ञानस्यानपेक्षिततया	संबन्धज्ञानस्य अनपेक्षिततया
segment: राज-	राजन्
segment: वयं तु	वयम् तु
segment: आत्मानं मृगमुद्दिश्य	आत्मानम् मृगम् उद्दिश्य
segment: प्रत्येव	प्रति एव
segment: विशिष्टदुरितवद्भिन्नत्वं वेत्यत्र	विशिष्टदुरितवद्भिन्नत्वम् वेति अत्र
tag: किमपि कुर्वत ।	किमपि|PRON कुर्वत|VERB ।|SYM
segment: कौतूहलमेनं वृत्तान्तं	कौतूहलम् एनम् वृत्तान्तम्
segment: स्वपदं स्वलक्ष्याभिमतमुक्त्यात्मकदुः	स्वपदम् स्वलक्ष्य अभिमतमुक्ति
segment: वृत्तान्तं श्रोतुम्	वृत्तान्तम् श्रोतुम्
segment: यावद्विषयतया	यावत् विषयतया
segment: स वानरः	सः वानरः
segment: वनान्तरस्याभितः	वनान्तरस्य अभितः
segment: .विशेषो न-क	.विशेषः न-क
tag: हनुमान् ज्ञानम् उवाच ।	हनुमान्|NOUN ज्ञानम्|NOUN उवाच|VERB ।|SYM
segment: द्वितीयेऽपि	द्वितीये अपि
tag: यत् पितामहः गच्छति ।	यत्|PRON पितामहः|NOUN गच्छति|VERB ।|SYM
segment: गतायुषं कामपथान्निवृत्तम्	गतायुषम् कामपथात् निवृत्तम्
tag: असत्यम् च व्यासं भवति ।	असत्यम्|NOUN च|CONJ व्यासं|NOUN भवति|VERB ।|SYM
tag: त्वरितः रामः जगाद ।	त्वरितः|ADJ रामः|NOUN जगाद|VERB ।|SYM
segment: विगतविषयदर्पं राक्षसेशं	विगतविषयदर्पम् राक्षसेशम्
segment: योऽन्यस्मै	यः अन्यस्मै
tag: पिता च ब्रह्मन् निरीक्षते ।	पिता|NOUN च|CONJ ब्रह्मन्|NOUN निरीक्षते|VERB ।|SYM
tag: वै कुन्तिभोजः अवलोकयति ।	वै|ADV कुन्तिभोजः|NOUN अवलोकयति|VERB ।|SYM
segment: चरमत्वं द्विविधमिति	चरमत्वम् द्विविधम् इति
segment: लाघवेनापाकर्तुमशक्यत्वात्	लाघवेन अपाकर्तुम् अशक्यत्वात्
tag: का समीक्षते ।	का|PRON समीक्षते|VERB ।|SYM
segment: तथापि	तथा अपि
segment: स्वादृष्टकृष्टशरीरसंबन्धस्यैव	स्वादृष्टकृष्टशरीरसंबन्धस्य एव
tag: राजा सर्वेषाम् प्रजानाम् रक्षकः भवति । स च सर्वेषाम् शास्त्राणाम् ज्ञाता भवति । तस्य च राज्ये सर्वे सुखिनः भवन्ति । तस्य च राज्ये सर्वे धनिनः भवन्ति ।	राजा|NOUN सर्वेषाम्|PRON प्रजानाम्|NOUN रक्षकः|NOUN भवति|VERB ।|SYM स|PRON च|CONJ सर्वेषाम्|PRON शास्त्राणाम्|NOUN ज्ञाता|ADJ भवति|VERB ।|SYM तस्य|PRON च|CONJ राज्ये|NOUN सर्वे|PRON सुखिनः|ADJ भवन्ति|VERB ।|SYM तस्य|PRON च|CONJ राज्ये|NOUN सर्वे|PRON धनिनः|ADJ भवन्ति|VERB ।|SYM
segment: राघवेणाद्य	राघवेण अद्य
tag: मधुरः पितुः सन्ति ।	मधुरः|ADJ पितुः|NOUN सन्ति|VERB ।|SYM
segment: केशवा भवन्ति	केशवाः भवन्ति
segment: पार्थिवानां समक्षं	पार्थिवानाम् समक्षम्
segment: वालिहृदयं भेत्तुं	वालिहृदयम् भेत्तुम्
segment: तदेकव्यक्तिकं	तत् एकव्यक्तिकं
segment: भिक्षां याचे]	भिक्षाम् याचे]
segment: (कोटरादवरुह्य)	(कोटरात् अवरुह्य)
segment: राज्यमाशङ्के	राज्यम् आशङ्के
segment: एष आर्यककुभः	एषः आर्यककुभः
segment: नातिप्रसङ्गः	न अतिप्रसङ्गः
segment: नास्तीति	न अस्ति इति
tag: मनुष्यः व्यापारिणाम् निगच्छति ।	मनुष्यः|NOUN व्यापारिणाम्|NOUN निगच्छति|VERB ।|SYM
segment: तद्वत्त्वगोचरयथार्थज्ञानविशेष्यत्वमतिप्रसक्तम्	तद्वत् तु अगोचरयथार्थज्ञानविशेष्यत्वम् अतिप्रसक्तम्
segment: विशेषादर्शनदशायामेकपुरुषं	विशेषादर्शनदशायाम् एकपुरुषं
tag: तेन आसीत् ।	तेन|PRON आसीत्|VERB ।|SYM
segment: स वाली	सः वाली
segment: भगवतो वाहनो	भगवतः वाहनः
segment: इत्यादिश्रुतयस्तत्र	इति आदिश्रुतयः तत्र
segment: कुमारो लक्ष्मणः	कुमारः लक्ष्मणः
segment: धर्म्येव	धर्मे एव
segment: स चित्रपटो	सः चित्रपटः
segment: जननीवद् विमातापि	जननीवत् विमाता अपि
segment: परुषमभिधातुम्	परुषम् अभिधातुम्
segment: गुहां धर्षयितुं	गुहाम् धर्षयितुम्
segment: व्याप्यत्वावच्छेदकत्वाभावेभाव	व्याप्यत्वावच्छेदकत्वाभावे अभाव
segment: गम्भीरं भेर्यस्त्रिदिवसद्मनाम्	गम्भीरम् भेर्यः त्रिदिवसद्मनाम्
segment: हेत्वाभासभेदप्रयोजकत्वादत्र	हेत्वाभासभेदप्रयोजकत्वात् अत्र
segment: नान्त्यः	न अन्त्यः
segment: भवतीति	भवति इति
segment: बोधयतीति	बोधयति इति
segment: विपक्षत्वमन्योन्याभावगर्भम्	विपक्षत्वम् अन्योन्याभावगर्भम्
segment: देवीमुपसर्पितुम्	देवीम् उपसर्पितुम्
segment: विभीषणः---एष एष	विभीषणः---एषः एषः
segment: साम्प्रतं	साम्प्रतम्
segment: मां वञ्चयितुकामो	माम् वञ्चयितुकामः
segment: रूपेणान्यत्रवात्रापि	रूपेण अन्यत्र इव अत्र अपि
segment: ब्राह्मणवचनाद् गृह्यताम्	ब्राह्मणवचनात् गृह्यताम्
segment: लक्ष्मणः---यदाज्ञापयत्यार्यः	लक्ष्मणः---यद् आज्ञापयति आर्यः
segment: नान्यथासिद्धत्वेन	न अन्यथासिद्धत्वेन
segment: मां प्राणाः	माम् प्राणाः
segment: मानुषं रूपमास्थाय	मानुषम् रूपम् आस्थाय
segment: तत्संबन्धादीश्वरो दूरस्थामपि	तत् संबन्धात् ईश्वरः दूरस्थाम् अपि
segment: ग्रहणमापन्नो राक्षसेशदिदृक्षया	ग्रहणम् आपन्नः राक्षसेशदिदृक्षया
tag: ते संगच्छति ।	ते|PRON संगच्छति|VERB ।|SYM
segment: तथापि	तथा अपि
segment: विगतधैर्यं हीयमानं	विगतधैर्यम् हीयमानम्
segment: पाकाद्रक्ते	पाकात् रक्ते
segment: बहुशो दीयतामिति	बहुशः दीयताम् इति
segment: मामन्तरेण	माम् अन्तरेण
segment: इत्थं च	इत्थम् च
segment: सुखवाचकानन्दपदस्य	सुखवाचक आनन्दपदस्य
segment: स एव	सः एव
segment: कथमस्माकमेवं स्यात्	कथम् अस्माकम् एवम् स्यात्
tag: सत्यम् सुतं दध्मौ ।	सत्यम्|NOUN सुतं|NOUN दध्मौ|VERB ।|SYM
segment: भावरूपाज्ञानस्य	भावरूप अज्ञानस्य
segment: रोषं धारयितुम्	रोषम् धारयितुम्
segment: तत्त्वज्ञानस्यापि	तत्त्वज्ञानस्य अपि
segment: सम्प्रत्यवन्त्वनिमिषा इह	सम्प्रति अवन्तु अनिमिषाः इह
tag: सञ्जय द्वारम् संभवति ।	सञ्जय|NOUN द्वारम्|NOUN संभवति|VERB ।|SYM
segment: वालिनं हन्तुं	वालिनम् हन्तुम्
segment: त्रैलोक्यनाथो भगवांश्चक्रायुधः	त्रैलोक्यनाथः भगवान् चक्रायुधः
segment: विरुद्धादिविशेषो नित्यदोषो	विरुद्धादिविशेषः नित्यदोषः
segment: मातलिवाहितो रथः	मातलिवाहितः रथः
segment: मुक्तित्वौचित्यम्	मुक्तित्व औचित्यम्
segment: स्वजनपरिभवादासन्नविलयम्	स्वजनपरिभवात् आसन्नविलयम्
segment: सुग्रीवः---यदाज्ञापयति	सुग्रीवः---यद् आज्ञापयति
segment: गुरुत्वं बालस्य	गुरुत्वम् बालस्य
segment: राघवं तं	राघवम् तम्
tag: पुनः सिंहः आगच्छति ।	पुनः|ADV सिंहः|NOUN आगच्छति|VERB ।|SYM
segment: त्वमपि	त्वम् अपि
segment: अप्रकाशा इव	अप्रकाशाः इव
segment: विद्यमानोऽप्यकिंचित्कर एव	विद्यमानः अपि अकिंचित्करः एव
segment: पटत्वाभाववानित्यादि	पटत्वाभाववान् इति आदि
segment: वाजिनां ते	वाजिनाम् ते
segment: हनूमान्---यदाज्ञापयति	हनूमान्---यद् आज्ञापयति
tag: किसानः पणवानकगोमुखाः आगच्छति ।	किसानः|NOUN पणवानकगोमुखाः|NOUN आगच्छति|VERB ।|SYM
segment: जातिव्याप्यविरूद्धभेदेनापि	जातिव्याप्यविरूद्धभेदेन अपि
segment: कस्तावन्मुक्तिजनकस्तत्त्वज्ञानपदार्थः	कः तावत् मुक्तिजनकः तत्त्वज्ञानपदार्थः
segment: प्रमाण्यमिति	प्रमाण्यम् इति
segment: रूपमुपस्थितेन	रूपम् उपस्थितेन
segment: सकर्तृकत्वप्रकारकसंदेहविशेष्यतावच्छेदकत्वमेव	सकर्तृकत्वप्रकारकसंदेहविशेष्यतावच्छेदकत्वम एव
segment: एवं नित्यसुखविषयकसाक्षात्कारत्वस्य	एवम् नित्यसुखविषयकसाक्षात्कारत्वस्य
segment: यत्त्वङ्कुरत्वं द्व्यणुकत्वं	यत्तु अङ्कुरत्वम् द्रव्यणुकत्वम्
segment: जातो	जातः
segment: नमस्कारं कर्तुमर्हति	नमस्कारम् कर्तुम् अर्हति
segment: अपरहेतुविषयतयापि	अपरहेतुविषयतया अपि
segment: सिद्धसाधनस्यादोषत्वमिति	सिद्धसाधनस्य अदोषत्वम् इति
tag: महेष्वासाः ऋषीणाम् स्मरति ।	महेष्वासाः|ADJ ऋषीणाम्|NOUN स्मरति|VERB ।|SYM
segment: यैस्तस्य	यैः तस्य
tag: ज्येष्ठः शुकं द्वेष्टि ।	ज्येष्ठः|ADJ शुकं|NOUN द्वेष्टि|VERB ।|SYM
segment: एह्येहि	एहि एहि
tag: विक्रमादित्यः आचारात् ताडयति ।	विक्रमादित्यः|NOUN आचारात्|NOUN ताडयति|VERB ।|SYM
segment: तद्गर्भव्यभिचारज्ञानस्यैव	तद्गर्भव्यभिचारज्ञानस्य एव
segment: तृतीयः---मुष्टिप्रक्षेपैर्जानुसङ्घट्टनैश्च	तृतीयः---मुष्टिप्रक्षेपैः जानुसङ्घट्टनैः च
segment: इत्यत्रैवात्रापि	इति अत्र एव अत्र अपि
tag: तस्य धर्मः नमस्कृत्य ।	तस्य|PRON धर्मः|NOUN नमस्कृत्य|VERB ।|SYM
segment: गुरोर्धैर्यात्तदा	गुरोः धैर्यात् तदा
segment: कनकखचितपृष्ठं भाति	कनकखचितपृष्ठम् भाति
segment: सकाशं गतवानस्मि	सकाशम् गतवान् अस्मि
segment: मुरारे-	मुरारेः
segment: तेनैव	तेन एव
segment: सर्वसपक्षव्यावृत्तस्योद्भावनमिति	सर्वसपक्षव्यावृत्तस्य उद्भावनम् इति
segment: दुर्योधनः---एतद्धास्यते	दुर्योधनः---एतत् हास्यते
segment: कथं वा	कथम् वा
tag: मामकाः नारायणं रक्ष्यते ।	मामकाः|ADJ नारायणं|NOUN रक्ष्यते|VERB ।|SYM
segment: मृणालवदुत्पाटिताः	मृणालवत् उत्पाटिताः
tag: नहि गंगा शक्नोति ।	नहि|ADV गंगा|NOUN शक्नोति|VERB ।|SYM
tag: कमरबन्दः मातृ रक्ष्यते ।	कमरबन्दः|NOUN मातृ|NOUN रक्ष्यते|VERB ।|SYM
segment: स्मो भो	स्मः भो
segment: प्रतिबन्धकमस्तु	प्रतिबन्धकम् अस्तु
segment: मयातिक्रान्तपूर्वम्	मया अतिक्रान्तपूर्वम्
segment: मुद्धाटयेन्नष्टघृणः	उद्घाटयेत् नष्टघृणः
segment: तद् मलिनं	तत् मलिनं
segment: तादृशश्रुतेस्तथाविधार्थ	तादृशश्रुतेः तथाविध अर्थ
segment: जानतापि	जानता अपि
segment: तथापि	तथा अपि
segment: भवन्तं पद्मपत्राक्षं	भवन्तम् पद्मपत्राक्षम्
segment: कस्यचिद् ब्राह्मणस्य	कस्यचित् ब्राह्मणस्य
segment: स्वैरमेकान्ते	स्वैरम् एकान्ते
tag: एषः शङ्खाः कामयते ।	एषः|PRON शङ्खाः|NOUN कामयते|VERB ।|SYM
tag: रक्षकाः सुतं दध्मौ ।	रक्षकाः|NOUN सुतं|NOUN दध्मौ|VERB ।|SYM
segment: किमस्माकं बले	किम् अस्माकम् बले
segment: त्वयेव	त्वया एव
segment: मुनिवरं भृगुवंशकेतुं	मुनिवरम् भृगुवंशकेतुम्
tag: ब्रह्मन् काशी भुङ्क्ते ।	ब्रह्मन्|NOUN काशी|NOUN भुङ्क्ते|VERB ।|SYM
segment: यथेष्टं कर्तुमर्हति	यथेष्टम् कर्तुम् अर्हति
segment: कार्यमिदम्	कार्यम् इदम्
tag: वेतालः निबोध ।	वेतालः|NOUN निबोध|VERB ।|SYM
segment: तदिदमुक्तं	तत् इदम् उक्तं
tag: वै राज्यम् पश्यति ।	वै|ADV राज्यम्|NOUN पश्यति|VERB ।|SYM
segment: सत्प्रतिपक्ष इव	सत्प्रतिपक्षः इव
tag: अत्र शास्त्राणाम् शिक्षयति ।	अत्र|ADV शास्त्राणाम्|NOUN शिक्षयति|VERB ।|SYM
segment: एवमार्यमिश्रान्	एवम् आर्यमिश्रान्
segment: तिष्ठेद् धनं	तिष्ठेत् धनं
segment: स विन्दति	सः विन्दति
segment: प्रभुरेव	प्रभुः एव
tag: यथाभागम् किसानः बुभूषति ।	यथाभागम्|ADV किसानः|NOUN बुभूषति|VERB ।|SYM
tag: तदा यज्ञः विचारयति ।	तदा|ADV यज्ञः|NOUN विचारयति|VERB ।|SYM
segment: इमां भगवतीं	इमाम् भगवतीम्
segment: तद्विरोधेनानुमानस्यैव	तद्विरोधेन अनुमानस्य एव
segment: भावरूपत्वाङ्गीकारात्	भावरूपत्व अङ्गीकारात्
segment: तथाविधानुभवस्य	तथाविध अनुभवस्य
segment: विजातीयैकवत्त्वेन	विजातीय एकवत्त्वेन
tag: आचार्यम् जल्पति ।	आचार्यम्|NOUN जल्पति|VERB ।|SYM
segment: जनो जातु	जनः जातु
segment: बहूनां समवेतानामेकस्मिन्निर्घृणात्मनाम्	बहूनाम् समवेतानाम् एकस्मिन् निर्घृणात्मनाम्
tag: माता कृष्णः कामयते ।	माता|NOUN कृष्णः|NOUN कामयते|VERB ।|SYM
segment: बहुमायाश्छलयोधिनश्च	बहुमायाः छलयोधिनः च
segment: तज्ज्ञानं	तत् ज्ञानं
segment: स दारनिस्पृहः	सः दारनिस्पृहः
segment: ईदृशेऽपि	ईदृशे अपि
segment: कैरातं वपुरास्थितः	कैरातम् वपुः आस्थितः
segment: देवाश्च	देवाः च
segment: लक्ष्मणः---एष एष	लक्ष्मणः---एषः एषः
segment: गतोऽसि	गतः असि
segment: चैवमेवेति	च एवम् इति
segment: किं नु	किम् नु
segment: कृष्णेनैतदुदाहृतम्	कृष्णेन एतत् उदाहृतम्
segment: व्यर्थं बहु	व्यर्थम् बहु
segment: अत एव	अतः एव
segment: रावणः---कथं त्वमवगच्छसि	रावणः---कथम् त्वम् अवगच्छसि
segment: तावदीदृशी	तावत् ईदृशी
segment: उषिताया रिपुक्षये	उषितायाः रिपुक्षये
segment: ब्रह्मणो रूपं	ब्रह्मणः रूपम्
segment: तस्यैव	तस्य एव
segment: सर्वे---भीमश्चित्रं भोः	सर्वे---भीमः चित्रम् भोः
tag: वयम् निवेदयति ।	वयम्|PRON निवेदयति|VERB ।|SYM
segment: वृत्तिलाभश्चौर्यकर्मनिवारकः	वृत्तिलाभः चौर्यकर्मनिवारकः
segment: नानात्वस्वीकार	गोवधादिजन्यतावच्छेदकजातेः एव
segment: मामयं सक्तसायकम्	माम् अयम् सक्तसायकम्
segment: वच्छेदकत्वस्योपदर्शि	वच्छेदकत्वस्य उपदर्शि
tag: पर्याप्तम् अशोकः वसति ।	पर्याप्तम्|ADJ अशोकः|NOUN वसति|VERB ।|SYM
tag: मधुरः वचनम् बुभूषति ।	मधुरः|ADJ वचनम्|NOUN बुभूषति|VERB ।|SYM
segment: प्रेषितश्चक्रपाणिना	प्रेषितः चक्रपाणिना
segment: स्थितं रथगतं	स्थितम् रथगतम्
segment: चोपाधावतिप्रसङ्गः	च उपाधौ अतिप्रसङ्गः
tag: कृष्णा च काशी मन्यते ।	कृष्णा|NOUN च|CONJ काशी|NOUN मन्यते|VERB ।|SYM
segment: पतन्त्येते	पतन्ति एते
segment: .तथापि-क	.तथा अपि-क
segment: बाधासंभवाज्जन्यत्वस्य	बाधासंभवात् जन्यत्वस्य
segment: वानरत्वाद्	वानरत्वात्
segment: निश्चय इति	निश्चयः इति
segment: वेदानुवचनेन	वेद अनुवचनेन
segment: दातुमर्हसि	दातुम् अर्हसि
segment: सत्प्रतिपक्षवदुभयप्रतिबन्धकतया	सत्प्रतिपक्षवत् उभयप्रतिबन्धकतया
segment: शक्तिमुल्लालयन्तं	शक्तिम् उल्लालयन्तम्
tag: चन्द्रः शैब्यः निरीक्षते ।	चन्द्रः|NOUN शैब्यः|NOUN निरीक्षते|VERB ।|SYM
segment: तावद् भो	तावत् भो
segment: स्पर्शो जातिविशेषस्य	स्पर्शः जातिविशेषस्य
segment: हयं गोवृषमेव	हयम् गोवृषम् एव
segment: शरीरजन्यत्वं	शरीरजन्यत्वम्
segment: कार्यश्चापि	कार्यः च अपि
segment: पक्षस्यापि	पक्षस्य अपि
segment: सोऽन्यापशकुनं	सः अन्यापशकुनं
segment: तदिच्छाजनकत्वेन	तत् इच्छाजनकत्वेन
segment: त्वां लक्षये	त्वाम् लक्षये
segment: असितभुजगकल्पां धारयन्त्येकवेणीं	असितभुजगकल्पाम् धारयन्तीं एकवेणीम्
segment: तद्वतोऽप्रसिद्धेः	तद्वतः अप्रसिद्धेः
segment: कदाचिज्ज्येष्ठस्य	कदाचित् ज्येष्ठस्य
segment: किमिति	किम् इति
segment: .एकत्रानुकूलतर्कावतारे	.एकत्र अनुकूलतर्कावतारे
segment: शाब्दबोधस्तदनन्तरं मननादितत्सहकृतमनसोत्पादितं	शाब्दबोधः तदनन्तरम् मननादितत् सहकृतमनस उत्पादितम्
tag: वेतालः भवतु ।	वेतालः|NOUN भवतु|VERB ।|SYM
segment: रुचिमन्यस्य	रुचिम् अन्यस्य
tag: यत् बोधयति ।	यत्|PRON बोधयति|VERB ।|SYM
tag: यथाभागम् शङ्खम् दर्शयति ।	यथाभागम्|ADV शङ्खम्|NOUN दर्शयति|VERB ।|SYM
segment: नित्यदोषेऽव्याप्तिरिति	नित्यदोषे अव्याप्तिः इति
segment: भिक्षां याचे	भिक्षाम् याचे
segment: शरनिर्भिन्नहृदयो विभाति	शरनिर्भिन्नहृदयः विभाति
tag: द्रौपदेयाः धर्मः उवाच ।	द्रौपदेयाः|NOUN धर्मः|NOUN उवाच|VERB ।|SYM
segment: तस्माद् वृक्षात्	तस्मात् वृक्षात्
segment: दिवसोऽयमागतः	दिवसः अयम् आगतः
segment: एवैकत्रानुकूलतर्काव.तारे	एव एकत्र अनुकूलतर्कावतारे
segment: एवञ्च	एवम् च
