input	output
segment: चात्रापि	च अत्र अपि
segment: तस्यैव	तस्य एव
segment: ज्ञानरूपसम्बन्धमादाय	ज्ञानरूपसम्बन्धम् आदाय
segment: सृजन्तं नदन्तं	सृजन्तम् नदन्तम्
segment: गोवधादिजन्यतावच्छेकदुःख	गोवध आदिजन्यतावच्छेकदुःख
segment: .चायथार्थत्वनियमेनोक्तदोषापरिहारः	.च अयथार्थत्वनियमेन उक्तदोषापरिहारः
segment: सारो भगवदाश्रयः	सारः भगवदाश्रयः
segment: हेममालिनं वालिनं	हेममालिनम् वालिनम्
segment: सर्वेः---कथमाशीर्वचनं न	सर्वेः---कथम् आशीर्वचनम् न
segment: हेतुभेदाभेदस्यैव	हेतुभेदाभेदस्य इव
segment: कुमारमक्षमाज्ञापय	कुमारम् अक्षम् आज्ञापय
segment: जातो धृतराष्ट्र	जातः धृतराष्ट्रः
segment: दशग्रीवो राजलक्ष्मीमनुत्तमाम्	दशग्रीवः राजलक्ष्मीम् अनुत्तमाम्
segment: षष्ठोऽङ्कः	षष्ठः अङ्कः
segment: तत्साध्याभावोपापकत्वात्दुद्भावनमृचिम्	तत्साध्याभावोपापकत्वात् उद्भावनमृचिम्
segment: क्रोधविस्फारिताक्षा	क्रोधविस्फारिताक्षाः
segment: तादृशवैजात्यं च	तादृशवैजात्यम् च
segment: कृपणो जायते	कृपणः जायते
segment: चैतदुद्भावनमिष्टमेव	च एतत् उद्भावनम् इष्टम् एव
segment: वरोऽपि	वरः अपि
segment: प्रत्यक्षविषयत्वसंभवादीश्वरात्म	प्रत्यक्षविषयत्वसंभवादि ईश्वरात्म
segment: हृदयस्याद्यावेग इव	हृदयस्य अद्य आवेगः इव
segment: तद्वत्त्वप्रकारकयथार्थज्ञानविशेष्यत्वस्य	तद्वत् तु अप्रकारकयथार्थज्ञानविशेष्यत्वस्य
segment: धारयन्त्येकवेणीं	धारयन्तीं एकवेणीम्
segment: हेतोर्वृत्तिमत्त्वं	हेतोः वृत्तिमत्त्वं
segment: एवाग्रे	एव अग्रे
segment: शरीरत्वमिति	शरीरत्वम् इति
segment: तनुमास्थिता	तनुम् आस्थिता
segment: कृष्णो गच्छति	कृष्णः गच्छति
segment: कर्तव्येनाभग्नस्य	कर्तव्येन अभग्नस्य
segment: तथाविधानुभवस्य	तथाविध अनुभवस्य
segment: प्रमाण्यमिति	प्रमाण्यम् इति
segment: कथनस्यासंभव	कथनस्य असंभव
segment: प्राप्तोऽस्मि	प्राप्तः अस्मि
segment: किं न	किम् न
segment: हितं पश्यामि	हितम् पश्यामि
segment: एता उर्वश्यादयोऽप्सरसो	एताः उर्वश्यादयः अप्सरसः
segment: एह्येहि	एहि एहि
segment: यज्ज्ञाने	यत् ज्ञाने
segment: एतदेव	एतद् एव
segment: समं सुतेनाप्रतिमं	समम् सुतेन अप्रतिमम्
segment: पिष्टपेषणमेतावत्	पिष्टपेषणम् एतावत्
segment: दण्ड्योऽस्मि	दण्ड्यः अस्मि
segment: स्वप्रकृतेस्त्यागं	स्वप्रकृतेः त्यागं
segment: इहोपलप्स्यति	इह उपलप्स्यति
segment: पश्येतां भवन्तौ	पश्येताम् भवन्तौ
segment: बलमाज्ञापयितुमर्हति	बलम् आज्ञापयितुम् अर्हति
segment: तत्त्वमसि	तत्त्वम् असि
segment: नानिष्टं	न अनिष्टं
segment: मुक्तित्वमिति	मुक्तित्वम् इति
segment: यात्राङ्कुरविशेषेण	यत्र अङ्कुरविशेषेण
segment: भगवद्गुणान्	भगवत् गुणान्
segment: स्यन्दनमानय	स्यन्दनम् आनय
segment: तातमभिवादयिष्यामः	तातम् अभिवादयिष्यामः
segment: रामः---अनुगृहीतोऽस्मि	रामः---अनुगृहीतः अस्मि
segment: स्वोत्तरोत्पन्नाविशेषगुणेनान्यथासिद्धत्वात्	स्वोत्तरोत्पन्नाविशेषगुणेन अन्यथासिद्धत्वात्
segment: कर्तुमर्हति	कर्तुम् अर्हति
segment: गौररहं स्थूल	गौररहम् स्थूल
segment: तृणान्तराभिभाष्यो भवान्	तृणान्तराभिभाष्यः भवान्
segment: परिमाणादिनिष्ठतामादाय	परिमाणादिनिष्ठताम् आदाय
segment: विशिष्टदुरितवद्भिन्नत्वं वेत्यत्र	विशिष्टदुरितवद्भिन्नत्वम् वेति अत्र
segment: व्यभिचाराननुमितौ	व्यभिचारान् अनुमितौ
segment: जीवितमप्रियम्	जीवितम् अप्रियम्
segment: नान्त्यः-ख	न अन्त्यः-ख
segment: प्रेषितोऽहं नरेन्द्रेण	प्रेषितः अहम् नरेन्द्रेण
segment: यतयोपदर्शित	यतया उपदर्शित
segment: स्वरूपमित्यर्थः	स्वरूपम् इति अर्थः
segment: अनित्यत्वादनित्यदोषत्वम्	अनित्यत्ववत् अनित्यदोषत्वम्
segment: नास्तीति	न अस्ति इति
segment: आहूयतां स	आहूयताम् सः
segment: शङ्करं वा	शङ्करम् वा
segment: पाण्डवशिबिरमेव	पाण्डवशिबिरम् एव
segment: एवं सति	एवम् सति
segment: निरूपकत्वाभ्युपगमेनैवोपपत्तौ	निरूपकत्व अभ्युपगमेन एव उपपत्तौ
segment: तावद् भोः	तावत् भोः
segment: यो हि	यः हि
segment: भृशशोकतप्तमनसो रामस्य	भृशशोकतप्तमनसः रामस्य
segment: तच्च	तत् च
segment: (प्रविश्यान्यो राक्षसः)	(प्रविश्यान्यः राक्षसः)
segment: तत्र	स्वसामान्याधि(धी)न आत्यन्तिकतया
segment: समास्थायच्छलेनापहृता	समास्थाय छलेन अपहृता
segment: क्रमान्निवेश्यमानासु	क्रमात् निवेश्यमानासु
segment: बोधोबाधकाभावादिति	बोधोबाधकाभावात् इति
segment: आदावन्ते	आदौ अन्ते
segment: दष्टोष्ठो मुष्टिमुद्यम्य	दष्टोष्ठः मुष्टिम् उद्यम्य
segment: जन्यापरोक्षत्वावच्छिन्नं प्रति	जन्यापरोक्षत्वावच्छिन्नम् प्रति
segment: यो गाधिपुत्रमखविघ्नकराभिहन्ता	यः गाधिपुत्रमखविघ्नकराभिहन्ता
segment: युक्तरूपोऽस्य	युक्तरूपः अस्य
segment: यद् रोचते	यत् रोचते
segment: धर्षितस्तेन	धर्षितः तेन
segment: पक्षतावच्छेदकत्वेपि	पक्षतावच्छेदकत्वे अपि
segment: वापराधेऽनयोर्वानरचापलं क्षन्तुमर्हसि	वा अपराधे अनयोः वानरचापलम् क्षन्तुम् अर्हसि
segment: तावन्मम	तावत् मम
segment: पुरामृतमन्थनेऽपि	पुरा अमृतमन्थने अपि
segment: निरवच्छिन्नत्वज्ञानत्वयोर्विशेष्यविशेषणभावे	निरवच्छिन्नत्वज्ञानत्वयोः विशेष्यविशेषणभावे
segment: ध्वंसत्वस्यार्थसमाजग्रस्तत्वे	ध्वंसत्वस्य अर्थसमाजग्रस्तत्वे
segment: कनकखचितपृष्ठं भाति	कनकखचितपृष्ठम् भाति
segment: सविषयकत्वमिति	सविषयकत्वम् इति
segment: पल्लवान्न	पल्लवान् न
segment: अतितपत्यादित्यः	अतितपति आदित्यः
segment: सत्यदृष्टजनकास्मदादितथाविधकृतिजन्यत्वमादाय	सत्यदृष्टजनकास्मत् आदितथाविधकृतिजन्यत्वम् आदाय
segment: कोऽत्र	कः अत्र
segment: हरीणामधिपेन	हरीणाम् अधिपेन
segment: सत्यनुमित्यभावनियमस्तादृशं	सति अनुमित्यभावनियमः तादृशं
segment: भवन्तं पृच्छामि	भवन्तम् पृच्छामि
segment: वच्छेदकमित्यामनन्ति	वच्छेदकम् इति आमनन्ति
segment: वायुसुतश्च	वायुसुतः च
segment: दर्शितमिति	दर्शितम् इति
segment: विशिष्टबुद्धिं प्रति	विशिष्टबुद्धिम् प्रति
segment: वानरमानय	वानरम् आनय
segment: तन्मम	तत् मम
segment: कथं सुग्रीव	कथम् सुग्रीवः
segment: स्वैरमेकान्ते	स्वैरम् एकान्ते
segment: परस्परं व्यभिचारेण	परस्परम् व्यभिचारेण
segment: रामो वदति	रामः वदति
segment: एवं च	एवम् च
segment: .चाप्तवाक्यादेरनित्यत्वप्रतियोगिकव्यतिरेकव्याप्तिमात्रग्रहः	.च आप्तवाक्यादेः अनित्यत्वप्रतियोगिकव्यतिरेकव्याप्तिमात्रग्रहः
segment: गिरिवरं युधि	गिरिवरम् युधि
segment: कुलप्रवालं परिगृह्यतां	कुलप्रवालम् परिगृह्यताम्
segment: सङ्‌कटेऽप्यागते	सङ्‌कटे अपि आगते
segment: नासिकामपि	नासिकाम् अपि
segment: चैवं	च एवं
segment: व्याख्येय इति	व्याख्येयः इति
segment: सन्तोषितो	सन्तोषितः
segment: महाराजायाङ्गेश्वराय	महाराजाय अङ्गेश्वराय
segment: अभिषेकनाटकं समाप्तम्	अभिषेकनाटकम् समाप्तम्
segment: इष्टापत्तेश्च	इष्टापत्तेः च
segment: द्रौपदीकेशाम्बरावकर्षणमालिखितम्	द्रौपदीकेशाम्बरावकर्षणम् आलिखितम्
segment: विनाशोऽभ्यागत इति	विनाशः अभ्यागतः इति
segment: वैधव्यमश्लाघ्यमवाप्स्यतीति	वैधव्यम् अश्लाघ्यम् अवाप्स्यति इति
segment: पूर्वदर्शितलाघवात्तादुशाज्ञाननिवृत्तित्वावच्छिन्नं प्रति	पूर्वदर्शितलाघवात् तादुशाज्ञाननिवृत्तित्वावच्छिन्नम् प्रति
segment: नेच्छामि	न इच्छामि
segment: परिखेदलब्धं	परिखेदलब्धम्
segment: (कोटरादवरुह्य)	(कोटरात् अवरुह्य)
segment: वक्तव्यं	वक्तव्यम्
segment: सांसारिकपदार्था हि	सांसारिकपदार्थाः हि
segment: कुलेऽस्मिन्	कुले अस्मिन्
segment: आनीयतां स	आनीयताम् सः
segment: संकोचकल्पनस्यावश्यकत्वात्	संकोचकल्पनस्य आवश्यकत्वात्
segment: सामर्थ्यं पश्यामि	सामर्थ्यम् पश्यामि
segment: विरुद्धस्यापि	विरुद्धस्य अपि
segment: मानुषीं तनुमास्थिता	मानुषीम् तनुम् आस्थिता
segment: विद्युल्लताकपिलतुङ्गजटाकलाप-	विद्युल्लताकपिलतुङ्गजटाकलापम्
segment: प्रतिज्ञातं किलानेन	प्रतिज्ञातम् किल अनेन
segment: सततं द्यूतशालिना	सततम् द्यूतशालिना
segment: एष युधिष्ठिरः	एषः युधिष्ठिरः
segment: वृत्तिमत्वेनान्यतराधिकरणवृत्तित्वनिश्चयेन	वृत्तिमत्वेन अन्यतराधिकरणवृत्तित्वनिश्चयेन
segment: तत्त्वज्ञानं प्रति	तत्त्वज्ञानम् प्रति
segment: धैर्यं हि	धैर्यम् हि
segment: उक्तदोषावकाशस्तदेव	उक्तदोषावकाशः तदेव
segment: महाराजो नास्त	महाराजः न आस्ते
segment: धरणीमप्यारूढं नभस्थलम्	धरणीम् अपि आरूढम् नभस्थलम्
segment: प्रसादाद्	प्रसादात्
segment: तद् भवद्भिः	तत् भवद्भिः
segment: वध्यत्वाच्च	वध्यत्वात् च
segment: प्रतिबन्धकत्वमेव	प्रतिबन्धकत्वम् एव
segment: तदपि	तत् अपि
segment: ततो भवति	ततः भवति
segment: तद्रथं लङ्घयित्वा	तत् रथम् लङ्घयित्वा
segment: धर्म्यं यद्	धर्म्यम् यत्
segment: तस्मादागच्छ	तस्मात् आगच्छ
segment: अत एव	अतः एव
segment: प्रतिगृह्यतामस्मत्कुलधनं	प्रतिगृह्यताम् अस्मत्कुलधनं
segment: निश्चितसाध्यवदन्यवृत्तित्वम्	निश्चितसाध्यवत् अन्यवृत्तित्वम्
segment: बलवद्विग्रहो नाम	बलवद्विग्रहः नाम
segment: स्वैर्दुष्कृतैर्जीवितम्	स्वैः दुष्कृतैः जीवितम्
segment: क्वचिदपि	क्वचित् अपि
segment: मूलप्रकृत्यपरनामकस्य	मूलप्रकृति अपरनामकस्य
segment: स प्रियपाण्डवत्वात्	सः प्रियपाण्डवत्वात्
segment: किमिति	किम् इति
segment: हेतोर्ज्ञानेन	हेतोः ज्ञानेन
segment: .हेतुभेदमात्रस्याप्रयोजकत्वात्	.हेतुभेदमात्रस्य अप्रयोजकत्वात्
segment: स्वरश्मिजालैर्धरणिं दहन्तौ	स्वरश्मिजालैः धरणिम् दहन्तौ
segment: संवृत्तं तुमुलं	संवृत्तम् तुमुलम्
segment: स कालः	सः कालः
segment: तदेतरत्रापि	तत् इतरत्र अपि
segment: मुक्तित्वकथनं दुरूपवादमेवेति	मुक्तित्वकथनम् दुरूपवादम् एव इति
segment: प्रागभावविशेशणेनेति	प्रागभावविशेशणेन इति
segment: चोद्यतां मम	चोद्यताम् मम
segment: किं दूत	किम् दूतः
segment: कल्पकोटिशतैरपि	कल्पकोटिशतैः अपि
segment: सुतस्ते	सुतः ते
segment: विलम्बो न	विलम्बः न
segment: यमवरुणकुबेरवासवाद्यै-	यमवरुणकुबेरवासवाद्यैः
segment: राममुपगम्य	रामम् उपगम्य
segment: काञ्चुकीयश्च	काञ्चुकीयः च
segment: खल्वनेककपटबुद्धेः	खलु अनेककपटबुद्धेः
segment: द्वितीयः---एतदस्त्रं	द्वितीयः---एतद् अस्त्रम्
segment: तत्त्वज्ञानपदार्थो यथा	तत्त्वज्ञानपदार्थः यथा
segment: नोचिता	न उचिता
segment: क्वासौ	क्व असौ
segment: दुःखिनस्तस्य	दुःखिनः तस्य
segment: कारणत्वकल्पनस्यावश्यकत्वात्	कारणत्वकल्पनस्य आवश्यकत्वात्
segment: यन्मिथ्याज्ञानं तज्जन्यसंस्कारात्मक	यन्मिथ्याज्ञानम् तज्जन्यसंस्कारात्मक
segment: कार्यत्वरूपहेतोर्भागासिद्धेरिति	कार्यत्वरूपहेतोः भागासिद्धेः इति
segment: साक्षादनुमितिप्रतिबन्धकम्	साक्षात् अनुमितिप्रतिबन्धकम्
segment: तत्तत्पुरूषीयप्रत्यक्षानुपपत्तेः	तत्तत् पुरुषीयप्रत्यक्षानुपपत्तेः
segment: स विकरोति	सः विकरोति
segment: शीघ्रमागच्छेति	शीघ्रम् आगच्छ इति
segment: भगवतीं लक्ष्मीं	भगवतीम् लक्ष्मीम्
segment: सत्यवश्यमनुमितिप्रतिबन्धस्तस्यैव	सति अवश्यम् अनुमितिप्रतिबन्धः तस्य एव
segment: पाण्डवाग्नीनामात्मा	पाण्डवाग्नीनाम् आत्मा
segment: हनुमान्---एष महाराजः	हनुमान्---एषः महाराजः
segment: रथारोहणं नाटयतः	रथारोहणम् नाटयतः
segment: भोगानाश्यदुरितनाशत्वमेव	भोगानाश्यदुरितनाशत्वम् एव
segment: भवत्यच्छमेव	भवति अच्छम् एव
segment: विवक्षायां प्रयोजनाभाव	विवक्षायाम् प्रयोजनाभाव
segment: तद्वदेव	तद्वत् एव
segment: बाधितमर्थं	बाधितम् अर्थम्
segment: करणासत्वेग्रिमक्षणे	करणासत्वे अग्रिमक्षणे
segment: शरीरादिभ्यो भिन्न	शरीरादिभ्यः भिन्न
segment: कथं नु	कथम् नु
segment: धृतराष्ट्रः---किं किं	धृतराष्ट्रः---किम् किम्
segment: कृतोऽद्य	कृतः अद्य
segment: दीयतामिति	दीयताम् इति
segment: तस्यैव	तस्य एव
segment: तत्परयैवा.परोऽपि	तत्परया एव.परः अपि
segment: स्पर्शो जातिविशेषस्य	स्पर्शः जातिविशेषस्य
segment: कोऽयं मे	कः अयम् मे
segment: संभ्रान्तो भृत्यो	संभ्रान्तः भृत्यः
segment: नगरद्वारं संश्रयामि	नगरद्वारम् संश्रयामि
segment: तत्रैव	तत्र एव
segment: नानात्वस्वीकार	गोवधादिजन्यतावच्छेदकजातेः एव
segment: सुखमाप्नोति	सुखम् आप्नोति
segment: वक्ष्यतीति	वक्ष्यति इति
segment: अलमलं विषादेन	अलम् अलम् विषादेन
segment: बहिर्गतः	बहिः गतः
segment: तत्सामग्र्यपि	तत्सामग्री अपि
segment: शोकपरवशो न	शोकपरवशः न
segment: अयमिदानीम्	अयम् इदानीम्
segment: विवशास्तुरङ्गमाः	विवशाः तुरङ्गमाः
segment: प्रकारमहं गौररहं	प्रकारमहम् गौररहम्
segment: दोर्भ्यां प्रतिज्ञार्णवं	दोर्भ्याम् प्रतिज्ञार्णवम्
segment: मानुषो माम	मानुषः माम्
segment: हरिहराविव	हरिहरौ इव
segment: खल्वमङ्गलं भण	खलु अमङ्गलम् भण
segment: वानरैर्नैरृतेषु	वानरैः नैरृतेषु
segment: परं मनः	परम् मनः
segment: क्रूरमेवं नरपतिं	क्रूरम् एवम् नरपतिम्
segment: पुनरपि	पुनः अपि
segment: बलं परीक्षिष्यामहे	बलम् परीक्षिष्यामहे
segment: बहिरागताः	बहिः आगताः
segment: सौभद्रेणेदृशं कृतम्	सौभद्रेण ईदृशम् कृतम्
segment: अहं ब्रह्म	अहम् ब्रह्म
segment: राज्यविभ्रष्टं सुग्रीवं	राज्यविभ्रष्टम् सुग्रीवम्
segment: घोषयात्रायां फल्गुनेनैव	घोषयात्रायाम् फल्गुनेन एव
segment: रावणस्याचिरेण	रावणस्य अचिरेण
segment: न	वेदः अपि
segment: नमो भगवते	नमः भगवते
segment: शक्तिं निपातितां	शक्तिम् निपातिताम्
segment: हतोऽपि	हतः अपि
segment: निहतं श्रुत्वा	निहतम् श्रुत्वा
segment: किमुक्तेन	किम् उक्तेन
segment: मच्छिरो ददामि	मच्छिरः ददामि
segment: दुर्योधनः---इदानीं प्रसन्नोऽस्मि	दुर्योधनः---इदानीम् प्रसन्नः अस्मि
segment: पश्येतां भवन्तौ	पश्येताम् भवन्तौ
segment: राज्ञां बलं	राज्ञाम् बलम्
segment: तवाद्य	तव अद्य
segment: नैवाहं धर्षितस्तेन	न एव अहम् धर्षितः तेन
segment: विपत्तिं	विपत्तिम्
segment: कृतास्त्रश्च	कृतास्त्रः च
segment: तदवच्छिन्नं प्रति	तदवच्छिन्नम् प्रति
segment: विमातापि	विमाता अपि
segment: शल्यः---ततस्ततः	शल्यः---ततः ततः
segment: ससुरदनुसुतं यन्मया	ससुरदनुसुतम् यत् मया
segment: मन्त्रशालामेव	मन्त्रशालाम् एव
segment: धृतराष्ट्रः---कष्टं भो	धृतराष्ट्रः---कष्टम् भो
segment: ज्वलनं विशेयुः	ज्वलनम् विशेयुः
segment: चेश्वरस्य	च ईश्वरस्य
segment: कस्त्वमिति	कः त्वम् इति
segment: तद् गृहीत्वा	तत् गृहीत्वा
segment: यत्राऽऽयान्ति	यात्रा आयान्ति
segment: कथमिव	कथम् इव
segment: कर्तव्यं रणशिरसि	कर्तव्यम् रणशिरसि
segment: सगर्वं	सगर्वम्
segment: जीवन्तीमादाय	जीवन्तीम् आदाय
segment: ज्ञानकर्मसमुच्चयवादस्तु	ज्ञानकर्मसमुच्चयवादः तु
segment: हेतुत्वं कल्पनीयम्	हेतुत्वम् कल्पनीयम्
segment: स्वपितरं बद्ध्वा	स्वपितरम् बद्ध्वा
segment: इत्याकारकं	इति आकारकम्
segment: दुरितवद्भिन्नदुरितध्वंसत्वं तत्तत्र	दुरितवद्भिन्नदुरितध्वंसत्वम् तत् तत्र
segment: नेदृक्	न ईदृक्
segment: तथाविधश्रुतीनां लक्षणया	तथाविधश्रुतीनाम् लक्षणया
segment: सिद्धसाधनस्यादोषत्वमिति	सिद्धसाधनस्य अदोषत्वम् इति
segment: दोलायत इव	दोलायते इव
segment: कथं कथं	कथम् कथम्
segment: दूरस्थामपि	दूरस्थाम् अपि
segment: वचनं सुहृदां	वचनम् सुहृदाम्
segment: चलत्तरङ्गाहतभीमवेलमुदीर्णनक्राकुलनीलनीरम्	चलत्तरङ्गाहतभीमवेलम् उदीर्णनक्राकुलनीलनीरम्
segment: पृच्छाग्निं भुजगाहुतिप्रणयिनं	पृच्छ अग्निम् भुजगाहुतिप्रणयिनम्
segment: ब्राह्मणवचनाद् गृह्यताम्	ब्राह्मणवचनात् गृह्यताम्
segment: वासनानाशानुरोधेनावश्यं क्लृप्ततया	वासनानाशानुरोधेनावश्यम् क्लृप्ततया
segment: अतो न	अतः न
segment: यत्किंचित्साध्यवदन्यवृत्तित्वं	यत्किंचित् साध्यवत् अन्यवृत्तित्वं
segment: ईश्वरवादेकामसिद्धिं परिहरतो	ईश्वरवादेकाम् असिद्धिम् परिहरतः
segment: पतिर्मम	पतिः मम
segment: स्याच्च	स्यात् च
segment: य आनन्दः	यः आनन्दः
segment: सहृद् तं	सहृत् तं
segment: रामः---यद्येवं गच्छ	रामः---यदि एवम् गच्छ
segment: एनमशोकपादपमारुह्य	एनम् अशोकपादपम् आरुह्य
segment: भृत्यो दुर्योधनाज्ञया	भृत्यः दुर्योधनाज्ञया
segment: हविरिति	हविः इति
segment: तथोक्त्यसंभवात्	तथा उक्ति असंभवात्
segment: वह्निव्यभिचारीति	वह्निव्यभिचारि इति
segment: य एषः	यः एषः
segment: दुरितध्वंसस्यापि	दुरितध्वंसस्य अपि
segment: घटोत्कचः---शकुनिरेष व्याहरति	घटोत्कचः---शकुनिः एषः व्याहरति
segment: स वः	सः वः
segment: युक्तं भो	युक्तम् भो
segment: एवं नित्यसुखविषयकसाक्षात्कारत्वस्य	एवम् नित्यसुखविषयकसाक्षात्कारत्वस्य
segment: नाशत्वावछिन्नहेतुत्वेनावश्यं क्लृप्तेन	नाशत्वावछिन्नहेतुत्वेन अवश्यम् क्लृप्तेन
segment: क्रोधोपहारमसिरेष विधास्यति	क्रोधोपहारम् असिः एषः विधास्यति
segment: ज्ञानं प्रति	ज्ञानम् प्रति
segment: भवन्तमभिवर्धयन्ति	भवन्तम् अभिवर्धयन्ति
segment: दुर्लभो राजसम्मानो	दुर्लभः राजसम्मानः
segment: तस्याप्रयोजकत्वादिति	तस्य अप्रयोजकत्वात् इति
segment: शिक्षितं	शिक्षितम्
segment: कारणमिति	कारणम् इति
segment: भटः---यदाज्ञापयति	भटः---यत् आज्ञापयति
segment: चास्मिस्सिद्धान्ते-ख	च अस्मत् सिद्धान्ते-ख
segment: प्रभुरेव	प्रभुः एव
segment: स्वाचरणे	स्व आचरणे
segment: भवतापि	भवता अपि
segment: तादृशानुभवविषयः	तादृश अनुभवविषयः
segment: देवाश्च	देवाः च
segment: देहमारोपयन्त्यर्जुनदर्शनार्थम्	देहम् आरोपयन्ति अर्जुनदर्शनार्थम्
segment: संस्कृतव्याकरणम्	संस्कृत व्याकरणम्
segment: पूर्तिरसम्भवा	पूर्तिः असम्भवा
segment: अद्वितीया गुणास्तस्याः	अद्वितीयाः गुणाः तस्याः
segment: चेन्न	चेत् न
segment: शक्ररिपोरशोकवनिका	शक्ररिपोः अशोकवनिका
segment: शङ्कुकर्णः---यदाज्ञापयति	शङ्कुकर्णः---यद् आज्ञापयति
segment: वेदातन्तिनस्तु	वेदातन्तिनः तु
segment: विपद्यमानं राक्षसकुलं	विपद्यमानम् राक्षसकुलम्
segment: (परिक्रम्याग्रतो विलोक्य)	(परिक्रम्य अग्रतः विलोक्य)
segment: रामः---राक्षस इति	रामः---राक्षसः इति
segment: रक्षिणश्चाप्रमत्ता भवन्तु	रक्षिणः च अप्रमत्ताः भवन्तु
segment: शरणागतं मां	शरणागतम् माम्
segment: चानुमितिमात्रोच्छेदः	च अनुमितिमात्रोच्छेदः
segment: पार्वतीशङ्‌कराविव	पार्वतीशङ्‌करौ इव
segment: संभवेनानुत्पत्यभावात्	संभवेन अनुत्पत्ति अभावात्
segment: खल्वयं वानरः	खलु अयम् वानरः
segment: सत्यं न	सत्यम् न
segment: एकपुत्रविनाशादर्जुनस्य	एकपुत्रविनाशात् अर्जुनस्य
segment: राहोर्वदनमण्डले	राहोः वदनमण्डले
segment: निर्ममेऽध्वनि	निर्ममे अध्वनि
segment: प्रतिबन्धकमस्तु	प्रतिबन्धकम् अस्तु
segment: त्वेवं हि	तु एवम् हि
segment: राममेव	रामम् एव
segment: यावद् गच्छामि	यावत् गच्छामि
segment: श्रीरघुदेवकृतो मुक्तिवादः	श्रीरघुदेवकृतः मुक्तिवादः
segment: कारणभावयोर्बाधकं विना	कारणभावयोः बाधकम् विना
segment: शुभं भूयात्	शुभम् भूयात्
segment: वधो वा	वधः वा
segment: वैय्यर्थ्याभावात्	वैय्यर्थ्य अभावात्
segment: तज्ज्ञानस्यायथार्थत्वेन	तत् ज्ञानस्य अयथार्थत्वेन
segment: प्रतिबन्धकत्वान्न	प्रतिबन्धकत्वात् न
segment: प्रथमोऽङ्कः	प्रथमः अङ्कः
segment: निश्चयाघटितमिति	निश्चयाघटितम् इति
segment: निवेद्यतां तावत्	निवेद्यताम् तावत्
segment: व्यतिरेकानुविधानबलात्	व्यतिरेक अनुविधानबलात्
segment: एकलव्यस्तयैवाभूत्	एकलव्यः तया एव अभूत्
segment: अपर्याप्तं कनकं	अपर्याप्तम् कनकम्
segment: वस्तुतस्तु	वस्तुतः तु
segment: पक्षतावच्छेदकमिति	पक्षतावच्छेदकम् इति
segment: विपुलप्रसादा-	विपुलप्रसादात्
segment: पैतामहं पार्थिवः	पैतामहम् पार्थिवः
segment: स्पृशधातोरूत्पत्तौ	स्पृशधातोः उत्पत्तौ
segment: तद्भिन्नमेव	तद्भिन्नम् एव
segment: तादृशज्ञानस्याप्ययथार्थत्वेनाव्याप्तिर्वज्रलेपायितैव	तादृशज्ञानस्य अपि अयथार्थत्वेन अव्याप्तिः वज्रलेपायितः एव
segment: प्रयत्नमनुतिष्ठामः	प्रयत्नम् अनुतिष्ठामः
segment: आत्मत्वाभावसंपत्यर्थं तत्त्वज्ञानसामग्र्याः	आत्मत्व अभावसंपत्यर्थम् तत्त्वज्ञानसामग्र्याः
segment: विनिगमनाविरहेणापि	विनिगमनाविरहेण अपि
segment: कुन्त्यां समुत्पन्नो	कुन्त्याम् समुत्पन्नः
