input	output
tag: पितरौ च जलम् पिबति ।	पितरौ|NOUN च|CONJ जलम्|NOUN पिबति|VERB ।|SYM
tag: प्रतापवान् पर्वतः चिन्तयति ।	प्रतापवान्|ADJ पर्वतः|NOUN चिन्तयति|VERB ।|SYM
tag: विराटः कनिष्ठः शिक्षयति ।	विराटः|NOUN कनिष्ठः|ADJ शिक्षयति|VERB ।|SYM
tag: व्यासं चपलः मन्यते ।	व्यासं|NOUN चपलः|ADJ मन्यते|VERB ।|SYM
tag: आम् हर्षम् निगच्छति ।	आम्|ADV हर्षम्|NOUN निगच्छति|VERB ।|SYM
tag: पिता पिबति ।	पिता|NOUN पिबति|VERB ।|SYM
tag: का विमृशति ।	का|PRON विमृशति|VERB ।|SYM
tag: मामकाः नारायणं रक्ष्यते ।	मामकाः|ADJ नारायणं|NOUN रक्ष्यते|VERB ।|SYM
tag: त्वम् रक्षकाः आसीत् ।	त्वम्|PRON रक्षकाः|NOUN आसीत्|VERB ।|SYM
tag: पाण्डवाश्च संगच्छति ।	पाण्डवाश्च|NOUN संगच्छति|VERB ।|SYM
tag: अन्ततः रामः अब्रवीत् ।	अन्ततः|ADV रामः|NOUN अब्रवीत्|VERB ।|SYM
tag: यत्र वेदः प्रादुरासीत् ।	यत्र|ADV वेदः|NOUN प्रादुरासीत्|VERB ।|SYM
tag: या मातृ भवतु ।	या|PRON मातृ|NOUN भवतु|VERB ।|SYM
tag: अधीरः द्वारम् शृणोति ।	अधीरः|ADJ द्वारम्|NOUN शृणोति|VERB ।|SYM
tag: देवः पुरुजित् अभिरक्षन्तु ।	देवः|NOUN पुरुजित्|NOUN अभिरक्षन्तु|VERB ।|SYM
tag: कर्णः कपिशः चिन्तयति ।	कर्णः|NOUN कपिशः|NOUN चिन्तयति|VERB ।|SYM
tag: कस्मिंश्चित् ऋतुः ब्रवीमि ।	कस्मिंश्चित्|PRON ऋतुः|NOUN ब्रवीमि|VERB ।|SYM
tag: सञ्जय च पितरौ अभिरक्षन्तु ।	सञ्जय|NOUN च|CONJ पितरौ|NOUN अभिरक्षन्तु|VERB ।|SYM
tag: युयुधानः अप्रशस्तः दृश्यते ।	युयुधानः|NOUN अप्रशस्तः|ADJ दृश्यते|VERB ।|SYM
tag: यूयम् पिता आसीत् ।	यूयम्|PRON पिता|NOUN आसीत्|VERB ।|SYM
tag: समानः वाल्मीकिः शिक्षते ।	समानः|ADJ वाल्मीकिः|NOUN शिक्षते|VERB ।|SYM
tag: एते मन्यते ।	एते|PRON मन्यते|VERB ।|SYM
tag: तव जल्पति ।	तव|PRON जल्पति|VERB ।|SYM
tag: कालः संगच्छति ।	कालः|NOUN संगच्छति|VERB ।|SYM
tag: कार्यं च कन्याकुब्जा पश्यति ।	कार्यं|NOUN च|CONJ कन्याकुब्जा|NOUN पश्यति|VERB ।|SYM
tag: तं मन्यते ।	तं|PRON मन्यते|VERB ।|SYM
tag: नायकाः च द्रुपदपुत्रेण निरीक्षते ।	नायकाः|NOUN च|CONJ द्रुपदपुत्रेण|NOUN निरीक्षते|VERB ।|SYM
tag: पाणिनिः भाषते ।	पाणिनिः|NOUN भाषते|VERB ।|SYM
tag: सीता फलम् ददति ।	सीता|NOUN फलम्|NOUN ददति|VERB ।|SYM
tag: मधुरः वचनम् बुभूषति ।	मधुरः|ADJ वचनम्|NOUN बुभूषति|VERB ।|SYM
tag: कार्यं स्वादुः दध्मौ ।	कार्यं|NOUN स्वादुः|ADJ दध्मौ|VERB ।|SYM
tag: तानि देवाः ददति ।	तानि|PRON देवाः|NOUN ददति|VERB ।|SYM
tag: यत् पितामहः गच्छति ।	यत्|PRON पितामहः|NOUN गच्छति|VERB ।|SYM
tag: कुरुवृद्धः चपलः ताडयति ।	कुरुवृद्धः|NOUN चपलः|ADJ ताडयति|VERB ।|SYM
tag: मातृ अयनेषु द्वेष्टि ।	मातृ|NOUN अयनेषु|NOUN द्वेष्टि|VERB ।|SYM
tag: रामः कृशः जानाति ।	रामः|NOUN कृशः|ADJ जानाति|VERB ।|SYM
tag: सीता शास्त्रम् भवति ।	सीता|NOUN शास्त्रम्|NOUN भवति|VERB ।|SYM
tag: एते भूमिः शृणोति ।	एते|PRON भूमिः|NOUN शृणोति|VERB ।|SYM
tag: सञ्जय द्वारम् संभवति ।	सञ्जय|NOUN द्वारम्|NOUN संभवति|VERB ।|SYM
tag: उच्चैः अन्यायः आगच्छति ।	उच्चैः|ADV अन्यायः|NOUN आगच्छति|VERB ।|SYM
tag: द्वारम् प्रकाशयति ।	द्वारम्|NOUN प्रकाशयति|VERB ।|SYM
tag: व्यूढाम् अर्थः बोधयति ।	व्यूढाम्|ADJ अर्थः|NOUN बोधयति|VERB ।|SYM
tag: हृदयम् च सभा घोषयति ।	हृदयम्|NOUN च|CONJ सभा|NOUN घोषयति|VERB ।|SYM
tag: भगवान् स्थापयति ।	भगवान्|NOUN स्थापयति|VERB ।|SYM
tag: एषः शङ्खम् विनद्य ।	एषः|PRON शङ्खम्|NOUN विनद्य|VERB ।|SYM
tag: धृतराष्ट्र फलम् ब्रवीमि ।	धृतराष्ट्र|NOUN फलम्|NOUN ब्रवीमि|VERB ।|SYM
tag: कविर्मुनिः उवाच ।	कविर्मुनिः|NOUN उवाच|VERB ।|SYM
tag: यानि सुतं जानाति ।	यानि|PRON सुतं|NOUN जानाति|VERB ।|SYM
tag: चन्द्रः जल्पति ।	चन्द्रः|NOUN जल्पति|VERB ।|SYM
tag: एते सैन्यस्य भुङ्क्ते ।	एते|PRON सैन्यस्य|NOUN भुङ्क्ते|VERB ।|SYM
tag: सौभद्रः द्रौपदेयाः च सर्वे एव महारथाः ॥	सौभद्रः|NOUN द्रौपदेयाः|NOUN च|CONJ सर्वे|PRON एव|PART महारथाः|NOUN ॥|SYM
tag: माता कृष्णः कामयते ।	माता|NOUN कृष्णः|NOUN कामयते|VERB ।|SYM
tag: चन्द्रः निबोध ।	चन्द्रः|NOUN निबोध|VERB ।|SYM
tag: प्रशस्तः नाम कथयति ।	प्रशस्तः|ADJ नाम|NOUN कथयति|VERB ।|SYM
tag: भीमार्जुनसमाः हृदयम् संभवति ।	भीमार्जुनसमाः|ADJ हृदयम्|NOUN संभवति|VERB ।|SYM
tag: कमरबन्दः मातृ रक्ष्यते ।	कमरबन्दः|NOUN मातृ|NOUN रक्ष्यते|VERB ।|SYM
tag: नगरम् नाम दिदृक्षते ।	नगरम्|NOUN नाम|NOUN दिदृक्षते|VERB ।|SYM
tag: ब्रह्मन् काशी भुङ्क्ते ।	ब्रह्मन्|NOUN काशी|NOUN भुङ्क्ते|VERB ।|SYM
tag: तदा गंगा करोति ।	तदा|ADV गंगा|NOUN करोति|VERB ।|SYM
tag: वेतालः रक्ष्यते ।	वेतालः|NOUN रक्ष्यते|VERB ।|SYM
tag: एतस्य करोति ।	एतस्य|PRON करोति|VERB ।|SYM
tag: सः दिदृक्षते ।	सः|PRON दिदृक्षते|VERB ।|SYM
tag: यावत् वाजश्रवसः दर्शयति ।	यावत्|ADV वाजश्रवसः|NOUN दर्शयति|VERB ।|SYM
tag: मध्यमः आपत्सु गायति ।	मध्यमः|ADJ आपत्सु|NOUN गायति|VERB ।|SYM
tag: एकम् नमस्कृत्य ।	एकम्|NOUN नमस्कृत्य|VERB ।|SYM
tag: राज्यम् भुङ्क्ते ।	राज्यम्|NOUN भुङ्क्ते|VERB ।|SYM
tag: नरः समीक्षते ।	नरः|NOUN समीक्षते|VERB ।|SYM
tag: शीघ्रम् अश्वः कुर्वत ।	शीघ्रम्|ADV अश्वः|NOUN कुर्वत|VERB ।|SYM
tag: राज्यम् जानाति ।	राज्यम्|NOUN जानाति|VERB ।|SYM
tag: भीष्मम् कालः अभ्यहन्यन्त ।	भीष्मम्|NOUN कालः|NOUN अभ्यहन्यन्त|VERB ।|SYM
tag: कः पिता पश्यति ।	कः|PRON पिता|NOUN पश्यति|VERB ।|SYM
tag: रक्षायाम् द्वेष्टि ।	रक्षायाम्|NOUN द्वेष्टि|VERB ।|SYM
tag: व्यापारिणाम् दरिद्रः विचारयति ।	व्यापारिणाम्|NOUN दरिद्रः|ADJ विचारयति|VERB ।|SYM
tag: अस्थि शृणोति ।	अस्थि|NOUN शृणोति|VERB ।|SYM
tag: भगवान् दिदृक्षते ।	भगवान्|NOUN दिदृक्षते|VERB ।|SYM
tag: सदा जीवानाम् श्रावयामास ।	सदा|ADV जीवानाम्|NOUN श्रावयामास|VERB ।|SYM
tag: जलम् अयनेषु खेलामः ।	जलम्|NOUN अयनेषु|NOUN खेलामः|VERB ।|SYM
tag: हर्षम् अशक्तः मारयति ।	हर्षम्|NOUN अशक्तः|ADJ मारयति|VERB ।|SYM
tag: असौ ब्रवीमि ।	असौ|PRON ब्रवीमि|VERB ।|SYM
tag: धनवान् अर्जुनः कामयते ।	धनवान्|ADJ अर्जुनः|NOUN कामयते|VERB ।|SYM
tag: चन्द्रः लघुः चिन्तयति ।	चन्द्रः|NOUN लघुः|ADJ चिन्तयति|VERB ।|SYM
tag: कोऽपि शिक्षते ।	कोऽपि|PRON शिक्षते|VERB ।|SYM
tag: चन्द्रः शैब्यः निरीक्षते ।	चन्द्रः|NOUN शैब्यः|NOUN निरीक्षते|VERB ।|SYM
tag: नगरम् च आचार्यम् नमस्कृत्य ।	नगरम्|NOUN च|CONJ आचार्यम्|NOUN नमस्कृत्य|VERB ।|SYM
tag: कार्यान्तरे आनन्दः विनद्य ।	कार्यान्तरे|NOUN आनन्दः|NOUN विनद्य|VERB ।|SYM
tag: यवत्वे हि उच्चयोः यत्र इवर्णः उकारयोः अपि ।	यवत्वे|NOUN हि|PART उच्चयोः|NOUN यत्र|ADV इवर्णः|NOUN उकारयोः|NOUN अपि|PART ।|SYM
tag: मधुरः पितुः सन्ति ।	मधुरः|ADJ पितुः|NOUN सन्ति|VERB ।|SYM
tag: तत्र रामः आगच्छति ।	तत्र|ADV रामः|NOUN आगच्छति|VERB ।|SYM
tag: स्थूलः सिंहः पिबति ।	स्थूलः|ADJ सिंहः|NOUN पिबति|VERB ।|SYM
tag: तदा यज्ञः विचारयति ।	तदा|ADV यज्ञः|NOUN विचारयति|VERB ।|SYM
tag: कृष्णा च काशी मन्यते ।	कृष्णा|NOUN च|CONJ काशी|NOUN मन्यते|VERB ।|SYM
tag: आकाशः प्रहरति ।	आकाशः|NOUN प्रहरति|VERB ।|SYM
tag: शिक्षायाम् ब्रवीमि ।	शिक्षायाम्|NOUN ब्रवीमि|VERB ।|SYM
tag: कठोरः पुरुजित् सूचयति ।	कठोरः|ADJ पुरुजित्|NOUN सूचयति|VERB ।|SYM
tag: कविर्मुनिः शब्दः व्याख्याति ।	कविर्मुनिः|NOUN शब्दः|NOUN व्याख्याति|VERB ।|SYM
tag: आचार्यम् ऋषिकेशः स्थापयति ।	आचार्यम्|NOUN ऋषिकेशः|NOUN स्थापयति|VERB ।|SYM
tag: महान् अग्निः करोति ।	महान्|ADJ अग्निः|NOUN करोति|VERB ।|SYM
tag: शिष्यः च अशोकः कुर्वत ।	शिष्यः|NOUN च|CONJ अशोकः|NOUN कुर्वत|VERB ।|SYM
tag: अशक्तः सिंहनादम् भवति ।	अशक्तः|ADJ सिंहनादम्|NOUN भवति|VERB ।|SYM
tag: कमः ज्ञानम् कथयति ।	कमः|ADJ ज्ञानम्|NOUN कथयति|VERB ।|SYM
tag: वचनम् मूल्यवान् संभवति ।	वचनम्|NOUN मूल्यवान्|ADJ संभवति|VERB ।|SYM
tag: वृक्षः अवस्थिताः गच्छति ।	वृक्षः|NOUN अवस्थिताः|ADJ गच्छति|VERB ।|SYM
tag: तस्य समीक्षते ।	तस्य|PRON समीक्षते|VERB ।|SYM
tag: भीष्मम् धनवान् ददति ।	भीष्मम्|NOUN धनवान्|ADJ ददति|VERB ।|SYM
tag: मम दृश्यते ।	मम|PRON दृश्यते|VERB ।|SYM
tag: शास्त्राणाम् कुर्ता युध्यति ।	शास्त्राणाम्|NOUN कुर्ता|NOUN युध्यति|VERB ।|SYM
tag: पुरुजित् कुन्तिभोजः च शैब्यः च नरपुङ्गवः । युधामन्युः च विक्रान्तः उत्तमौजाः च वीर्यवान् ॥	पुरुजित्|NOUN कुन्तिभोजः|NOUN च|CONJ शैब्यः|NOUN च|CONJ नरपुङ्गवः|NOUN ।|SYM युधामन्युः|NOUN च|CONJ विक्रान्तः|ADJ उत्तमौजाः|NOUN च|CONJ वीर्यवान्|ADJ ॥|SYM
tag: पुस्तकम् सत्त्वम् व्याख्याति ।	पुस्तकम्|NOUN सत्त्वम्|NOUN व्याख्याति|VERB ।|SYM
tag: अन्यायः संभवति ।	अन्यायः|NOUN संभवति|VERB ।|SYM
tag: यथाभागम् किसानः बुभूषति ।	यथाभागम्|ADV किसानः|NOUN बुभूषति|VERB ।|SYM
tag: माता च सुतं भाषते ।	माता|NOUN च|CONJ सुतं|NOUN भाषते|VERB ।|SYM
tag: त्वया नमस्कृत्य ।	त्वया|PRON नमस्कृत्य|VERB ।|SYM
tag: अधीरः शङ्खाः आगच्छति ।	अधीरः|ADJ शङ्खाः|NOUN आगच्छति|VERB ।|SYM
tag: मन्त्री भगवान् दृश्यते ।	मन्त्री|NOUN भगवान्|NOUN दृश्यते|VERB ।|SYM
tag: धृतराष्ट्र मित्रम् आगच्छति ।	धृतराष्ट्र|NOUN मित्रम्|NOUN आगच्छति|VERB ।|SYM
tag: युधि त्रयः द्वेष्टि ।	युधि|NOUN त्रयः|ADJ द्वेष्टि|VERB ।|SYM
tag: तथैव महेशः खादति ।	तथैव|ADV महेशः|NOUN खादति|VERB ।|SYM
tag: पाण्डवाश्च च यज्ञः आगच्छति ।	पाण्डवाश्च|NOUN च|CONJ यज्ञः|NOUN आगच्छति|VERB ।|SYM
tag: माता अरावली भविष्यति ।	माता|NOUN अरावली|NOUN भविष्यति|VERB ।|SYM
tag: पाण्डुपुत्राणाम् च अर्थः दिदृक्षते ।	पाण्डुपुत्राणाम्|NOUN च|CONJ अर्थः|NOUN दिदृक्षते|VERB ।|SYM
tag: इदम् युयुधानः उपदिशति ।	इदम्|PRON युयुधानः|NOUN उपदिशति|VERB ।|SYM
tag: सीता शक्नोति ।	सीता|NOUN शक्नोति|VERB ।|SYM
tag: मम शिक्षते ।	मम|PRON शिक्षते|VERB ।|SYM
tag: स्त्री यज्ञः अभिरक्षन्तु ।	स्त्री|NOUN यज्ञः|NOUN अभिरक्षन्तु|VERB ।|SYM
tag: मन्दम् हनुमान् निगच्छति ।	मन्दम्|ADV हनुमान्|NOUN निगच्छति|VERB ।|SYM
tag: स्त्री अन्यायः निगच्छति ।	स्त्री|NOUN अन्यायः|NOUN निगच्छति|VERB ।|SYM
tag: सर्वे भुङ्क्ते ।	सर्वे|PRON भुङ्क्ते|VERB ।|SYM
tag: कमरबन्दः विमृशति ।	कमरबन्दः|NOUN विमृशति|VERB ।|SYM
tag: चन्द्रः ऋषीणाम् अवलोकयति ।	चन्द्रः|NOUN ऋषीणाम्|NOUN अवलोकयति|VERB ।|SYM
tag: यथा महेशः गायति ।	यथा|ADV महेशः|NOUN गायति|VERB ।|SYM
tag: नानाशस्त्रप्रहरणाः विक्रमादित्यः श्रुत्वा ।	नानाशस्त्रप्रहरणाः|ADJ विक्रमादित्यः|NOUN श्रुत्वा|VERB ।|SYM
tag: कः इन्जिनियरः कुर्वत ।	कः|PRON इन्जिनियरः|NOUN कुर्वत|VERB ।|SYM
tag: कुरुवृद्धः मन्दः चिन्तयति ।	कुरुवृद्धः|NOUN मन्दः|ADJ चिन्तयति|VERB ।|SYM
tag: तेन शृणोति ।	तेन|PRON शृणोति|VERB ।|SYM
tag: भीमाभिरक्षितम् कर्म ब्रवीमि ।	भीमाभिरक्षितम्|ADJ कर्म|NOUN ब्रवीमि|VERB ।|SYM
tag: व्यापारिणाम् व्यासं बभूव ।	व्यापारिणाम्|NOUN व्यासं|NOUN बभूव|VERB ।|SYM
tag: यथाभागम् शङ्खम् दर्शयति ।	यथाभागम्|ADV शङ्खम्|NOUN दर्शयति|VERB ।|SYM
tag: भवान् श्रेयः अस्ति ।	भवान्|PRON श्रेयः|NOUN अस्ति|VERB ।|SYM
tag: पराक्रमी ऋतुः शिक्षयति ।	पराक्रमी|ADJ ऋतुः|NOUN शिक्षयति|VERB ।|SYM
tag: धृतराष्ट्र च विक्रमादित्यः कथयति ।	धृतराष्ट्र|NOUN च|CONJ विक्रमादित्यः|NOUN कथयति|VERB ।|SYM
tag: देवाः सभा घोषयति ।	देवाः|NOUN सभा|NOUN घोषयति|VERB ।|SYM
tag: विराटः निबोध ।	विराटः|NOUN निबोध|VERB ।|SYM
tag: कर्म कुरूपः अभ्यहन्यन्त ।	कर्म|NOUN कुरूपः|ADJ अभ्यहन्यन्त|VERB ।|SYM
tag: चपलः राज्ञाम् विनद्य ।	चपलः|ADJ राज्ञाम्|NOUN विनद्य|VERB ।|SYM
tag: यूयम् अभिरक्षन्तु ।	यूयम्|PRON अभिरक्षन्तु|VERB ।|SYM
tag: वेदः बभूव ।	वेदः|NOUN बभूव|VERB ।|SYM
tag: ततः रक्षकाः रक्ष्यते ।	ततः|ADV रक्षकाः|NOUN रक्ष्यते|VERB ।|SYM
tag: मुनिः शृणोति ।	मुनिः|NOUN शृणोति|VERB ।|SYM
tag: इन्जिनियरः ददति ।	इन्जिनियरः|NOUN ददति|VERB ।|SYM
tag: शुकं कुरुक्षेत्रे आसीत् ।	शुकं|NOUN कुरुक्षेत्रे|NOUN आसीत्|VERB ।|SYM
tag: अहम् ददति ।	अहम्|PRON ददति|VERB ।|SYM
tag: भीष्माभिरक्षितम् आनन्दः सन्ति ।	भीष्माभिरक्षितम्|ADJ आनन्दः|NOUN सन्ति|VERB ।|SYM
tag: धर्मः वसति ।	धर्मः|NOUN वसति|VERB ।|SYM
tag: पणवानकगोमुखाः कुरुक्षेत्रे आसीत् ।	पणवानकगोमुखाः|NOUN कुरुक्षेत्रे|NOUN आसीत्|VERB ।|SYM
tag: ज्येष्ठः शृगालः समीक्षते ।	ज्येष्ठः|ADJ शृगालः|NOUN समीक्षते|VERB ।|SYM
tag: महेशः खेलामः ।	महेशः|NOUN खेलामः|VERB ।|SYM
tag: वाजश्रवसः महेशः गायति ।	वाजश्रवसः|NOUN महेशः|NOUN गायति|VERB ।|SYM
tag: लोकः च औषधम् खादति ।	लोकः|NOUN च|CONJ औषधम्|NOUN खादति|VERB ।|SYM
tag: उपदेशः स्मरति ।	उपदेशः|NOUN स्मरति|VERB ।|SYM
tag: कृशः पुत्रः चिन्तयति ।	कृशः|ADJ पुत्रः|NOUN चिन्तयति|VERB ।|SYM
tag: कुत्र आशा जल्पति ।	कुत्र|ADV आशा|NOUN जल्पति|VERB ।|SYM
tag: वयम् चिन्तयति ।	वयम्|PRON चिन्तयति|VERB ।|SYM
tag: सूर्यः च धर्मः अस्ति ।	सूर्यः|NOUN च|CONJ धर्मः|NOUN अस्ति|VERB ।|SYM
tag: अस्माकम् अस्ति ।	अस्माकम्|PRON अस्ति|VERB ।|SYM
tag: एतस्य श्रुत्वा ।	एतस्य|PRON श्रुत्वा|VERB ।|SYM
tag: सीता शृणोति ।	सीता|NOUN शृणोति|VERB ।|SYM
tag: तस्य सञ्जनयन् हर्षम् कुरुवृद्धः पितामहः । सिंहनादम् विनद्य उच्चैः शङ्खम् दध्मौ प्रतापवान् ॥	तस्य|PRON सञ्जनयन्|PART हर्षम्|NOUN कुरुवृद्धः|NOUN पितामहः|NOUN ।|SYM सिंहनादम्|NOUN विनद्य|VERB उच्चैः|ADV शङ्खम्|NOUN दध्मौ|VERB प्रतापवान्|ADJ ॥|SYM
tag: सर्वेषाम् अस्ति ।	सर्वेषाम्|PRON अस्ति|VERB ।|SYM
tag: हनुमान् ज्ञानम् उवाच ।	हनुमान्|NOUN ज्ञानम्|NOUN उवाच|VERB ।|SYM
tag: कः शृणोति ।	कः|PRON शृणोति|VERB ।|SYM
tag: मूल्यवान् पुरुजित् जगाद ।	मूल्यवान्|ADJ पुरुजित्|NOUN जगाद|VERB ।|SYM
tag: असौ भीष्मम् मन्यते ।	असौ|PRON भीष्मम्|NOUN मन्यते|VERB ।|SYM
tag: एताः ब्रवीमि ।	एताः|PRON ब्रवीमि|VERB ।|SYM
tag: सुतं अब्रवीत् ।	सुतं|NOUN अब्रवीत्|VERB ।|SYM
tag: जीवानाम् भाषते ।	जीवानाम्|NOUN भाषते|VERB ।|SYM
tag: पश्य एताम् पाण्डुपुत्राणाम् आचार्य महतीम् चमूम् । व्यूढाम् द्रुपदपुत्रेण तव शिष्येण धीमता ॥	पश्य|VERB एताम्|PRON पाण्डुपुत्राणाम्|NOUN आचार्य|NOUN महतीम्|ADJ चमूम्|NOUN ।|SYM व्यूढाम्|ADJ द्रुपदपुत्रेण|NOUN तव|PRON शिष्येण|NOUN धीमता|ADJ ॥|SYM
tag: अस्माकम् हृदयम् निगच्छति ।	अस्माकम्|PRON हृदयम्|NOUN निगच्छति|VERB ।|SYM
tag: यूयम् पर्वतः अभ्यहन्यन्त ।	यूयम्|PRON पर्वतः|NOUN अभ्यहन्यन्त|VERB ।|SYM
tag: कुशलः देवः पठति ।	कुशलः|ADJ देवः|NOUN पठति|VERB ।|SYM
tag: तेन दध्मौ ।	तेन|PRON दध्मौ|VERB ।|SYM
tag: तस्याः ऋषीणाम् निगच्छति ।	तस्याः|PRON ऋषीणाम्|NOUN निगच्छति|VERB ।|SYM
tag: भेर्यः महेष्वासाः कामयते ।	भेर्यः|NOUN महेष्वासाः|ADJ कामयते|VERB ।|SYM
tag: वाक्यम् राजा रक्ष्यते ।	वाक्यम्|NOUN राजा|NOUN रक्ष्यते|VERB ।|SYM
tag: कर्णः अधमः जानाति ।	कर्णः|NOUN अधमः|ADJ जानाति|VERB ।|SYM
tag: भगवान् मुनिः नमस्कृत्य ।	भगवान्|NOUN मुनिः|NOUN नमस्कृत्य|VERB ।|SYM
tag: धीमता मातृ अवलोकयति ।	धीमता|ADJ मातृ|NOUN अवलोकयति|VERB ।|SYM
tag: द्रुपदपुत्रेण च मनुष्यः युध्यति ।	द्रुपदपुत्रेण|NOUN च|CONJ मनुष्यः|NOUN युध्यति|VERB ।|SYM
tag: वनम् पुरुजित् विचारयति ।	वनम्|NOUN पुरुजित्|NOUN विचारयति|VERB ।|SYM
tag: पुस्तकम् रामः जल्पति ।	पुस्तकम्|NOUN रामः|NOUN जल्पति|VERB ।|SYM
tag: तस्याः ब्रवीमि ।	तस्याः|PRON ब्रवीमि|VERB ।|SYM
tag: नहि मन्त्री अब्रवीत् ।	नहि|ADV मन्त्री|NOUN अब्रवीत्|VERB ।|SYM
tag: मया विचारयति ।	मया|PRON विचारयति|VERB ।|SYM
tag: अशोकः अश्वः बोधयति ।	अशोकः|NOUN अश्वः|NOUN बोधयति|VERB ।|SYM
tag: अत्यन्तम् अर्थः दृश्यते ।	अत्यन्तम्|ADV अर्थः|NOUN दृश्यते|VERB ।|SYM
